"resource"	"collection"	"process"	"actor"	"relationship"	"startdate"	"enddate"	"value"	"unit"	"valuetype"	"infotype"	"record"	"location"	"description"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"			100	"kg/MW"	"D"		301	"World"	
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2020		0.08	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2030		0.73	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2020		0.14	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2030		1.3	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"							56	"kt"	"S"		301	"World"	
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"			663.4	"kg/MW"	"D"		301	"World"	
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2020		9.46	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2030		11.28	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"			1145	"kg/MW"	"D"		301	"World"	
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2020		0.926	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2030		8.336	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2020		0.61	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2030		0.73	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2020		0.06	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2030		0.54	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"							1550	"kt"	"S"		301	"World"	
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			2194.1	"kg/MW"	"D"		301	"World"	
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		19.09	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		118.48	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"			2194.1	"kg/MW"	"D"		301	"World"	
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2020		19.09	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2030		118.48	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.12	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		0.73	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2020		0.12	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2030		0.73	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"							16200	"kt"	"S"		301	"World"	
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			0.12	"kg/MW"	"D"		301	"World"	
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.001	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		0.006	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.63	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		3.91	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"							0.16	"kt"	"S"		301	"World"	
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			0.5	"kg/MW"	"D"		301	"World"	
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.004	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		0.026	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.13	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		0.79	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"							3.25	"kt"	"S"		301	"World"	
"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"			100	"kg/MW"	"D"		301	"World"	
"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2020		0.08	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2030		0.73	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2020		0.13	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"	24			"resource by collection"	2030		1.16	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"							63	"kt"	"S"		301	"World"	
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"			70.8	"kg/MW"	"D"		301	"World"	
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2020		0.6281	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2030		0.845	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"			136.6	"kg/MW"	"D"		301	"World"	
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2020		1.95	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2030		2.32	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2020		0.27	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2030		0.36	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2020		0.83	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource by collection"	2030		0.99	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"							234	"kt"	"S"		301	"World"	
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"			8.3	"kg/MW"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2020		70.8	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2030		0.0736	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			19.2	"kg/MW"	"D"		301	"World"	
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.17	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		1.04	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2020		0.099	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2030		0.33	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.75	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		4.68	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"							22.2	"kt"	"S"		301	"World"	
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			6.1	"kg/MW"	"D"		301	"World"	
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.05	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		0.33	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.24	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		1.51	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"							22	"kt"	"S"		301	"World"	
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"			0.48	"kg/MW"	"D"		301	"World"	
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2020		0.0138	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2030		0.019	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			4.5	"kg/MW"	"D"		301	"World"	
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.04	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		0.24	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2020		1.03	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource by collection"	2030		1.38	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		2.91	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		18.04	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"							1.35	"kt"	"S"		301	"World"	
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			463.1	"kg/MW"	"D"		301	"World"	
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		4.03	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		25.01	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		1.54	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		9.58	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"							261	"kt"	"S"		301	"World"	
"304e99b8-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"			4.7	"kg/MW"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e99b8-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		0.04	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e99b8-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		0.25	"kt"	"D"		301	"World"	"Strategic Energy Technology scenario"
"304e99b8-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2020		8.12	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e99b8-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource by collection"	2030		50.39	"%"	"D/S"		301	"World"	"Strategic Energy Technology scenario"
"304e99b8-7f8e-11e3-bc66-f07bcb4eb64e"							0.5	"kt"	"S"		301	"World"	
